pertanyaan;jawaban
apa sipnosis mecha break ?;Mecha break adalah Game shooter mecha yang menawarkan pertempuran tim online dengan berbagai mode permainan. Pemain dapat memilih dari berbagai kelas mecha dan berpartisipasi dalam pertempuran 3v3, 6v6, dan PvPvE.
apa sipnosis monster hunters wild;Game berburu monster terbaru dari seri Monster Hunter. Pemain akan menjelajahi dunia luas yang penuh dengan ekosistem dinamis, menghadapi monster raksasa dengan berbagai strategi, serta menggunakan senjata dan perlengkapan yang bisa dikembangkan.
Platform apa yang dapat memainkan Jurassic World Evolution 2 ?;platform yang dapat memainkan Jurassic World Evolution 2 adalah PS4 dan PS5
Apa genre Final Fantasy VII ?;Final Fantasy VII merupakan game RPG
Apa genre Metal Gear Solid ?;Final Fantasy VII merupakan game action, stealth
kapan game mechabreak dikeluarkan ?;Game Mecha Break dirilis pada musim semi 2025
kapan game monster hunters wild dirilis?;Monster Hunter Wilds dirilis pada tanggal 28 Februari 2025
Kapan Jurassic World Evolution 2 dirilis ?;Jurassic World Evolution 2 dirilis pada tanggal 17 Desember 2024
Kapan Final Fantasy VII  dikeluarkan ?;Final Fantasy VII dikeluarkan pada 31 Januari 1997
Kapan Metal Gear Solid  dikeluarkan ?;Metal Gear Solid dikeluarkan pada 3 September 1998 
Siapa publisher mecha break ?;Publisher dari Mecga Break adalah Amazing Seasun Games
Siapa publisher Monster Hunter Wilds ?;Publisher dari Monster Hunter Wilds adalah Capcom
Siapa publisher Jurassic World Evolution 2 ?;Publisher Jurassic World Evolution 2 merupakan Frontier Developments
Siapa yang publish Final Fantasy VII ?;Pihak yang publish Final Fantasy VII bernama SquareSoft
Siapa Publisher metal gear solid  ?;Publisher game metal gear solid adalah Konami
